symbol,name,price
601398.SS,Industrial and Commercial Bank of China Limited,5.70
600519.SS,"Kweichow Moutai Co., Ltd.","1,467.39"
601857.SS,PetroChina Company Limited,10.32
600941.SS,China Mobile Limited,107.50
601288.SS,Agricultural Bank of China Limited,4.3600
601939.SS,China Construction Bank Corporation,7.40
601988.SS,Bank of China Limited,4.6200
600938.SS,CNOOC Limited,33.00
600036.SS,"China Merchants Bank Co., Ltd.",34.19
601088.SS,China Shenhua Energy Company Limited,44.37
300750.SZ,"Contemporary Amperex Technology Co., Limited",180.03
600028.SS,China Petroleum & Chemical Corporation,6.32
601628.SS,China Life Insurance Company Limited,31.05
600900.SS,"China Yangtze Power Co., Ltd.",28.92
601318.SS,"Ping An Insurance (Group) Company of China, Ltd.",41.36
002594.SZ,BYD Company Limited,250.25
601138.SS,"Foxconn Industrial Internet Co., Ltd.",27.40
601728.SS,China Telecom Corporation Limited,6.15
000858.SZ,"Wuliangye Yibin Co.,Ltd.",128.04
601328.SS,"Bank of Communications Co., Ltd.",7.47
601658.SS,"Postal Savings Bank of China Co., Ltd.",5.07
601899.SS,Zijin Mining Group Company Limited,17.57
000333.SZ,"Midea Group Co., Ltd.",64.50
601166.SS,"Industrial Bank Co., Ltd.",17.62
300760.SZ,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",290.91
